acc,status,balance,transferred,ms,note
abul10192,OK,1250,1250,2932,
abul10193,OK,700,700,2845,
abul10194,OK,600,600,2936,
abul10195,OK,1000,1000,2926,
abul10196,OK,525,525,2905,
abul10197,OK,550,550,2914,
abul10198,OK,1250,1250,2862,
abul10199,OK,1250,1250,2871,
abul10200,OK,800,800,2946,
abul10201,OK,575,575,2908,
abul10202,OK,525,525,2819,
abul10203,OK,550,550,2491,
abul10204,OK,1000,1000,2880,
abul10205,OK,550,550,2896,
abul10206,OK,600,600,2834,
abul10207,OK,525,525,2798,
abul10208,OK,1500,1500,2912,
abul10209,OK,575,575,2839,
abul10210,OK,600,600,2965,
abul10211,OK,1000,1000,3352,
abul10212,OK,650,650,2442,
abul10213,OK,510,510,2931,
abul10214,OK,510,510,2405,
abul10215,OK,1250,1250,3479,
abul10216,OK,525,525,2944,
abul10217,OK,650,650,2923,
abul10218,OK,1500,1500,2948,
abul10219,OK,575,575,2922,
abul10220,OK,1250,1250,2949,
abul10221,OK,510,510,3033,
abul10222,OK,1500,1500,2896,
abul10223,OK,550,550,3520,
abul10224,OK,600,600,2867,
abul10225,OK,650,650,3012,
abul10226,OK,575,575,2435,
abul10227,OK,600,600,2898,
abul10228,OK,1000,1000,2933,
abul10229,OK,550,550,2947,
abul10230,OK,1000,1000,3101,
abul10231,OK,1250,1250,2858,
abul10232,OK,525,525,2883,
abul10233,OK,800,800,2987,
abul10234,OK,650,650,2897,
abul10235,OK,550,550,2919,
abul10236,OK,525,525,2825,
abul10237,OK,1500,1500,3169,
abul10238,OK,525,525,2904,
abul10239,OK,1000,1000,3385,
abul10240,OK,650,650,2820,
abul10241,OK,575,575,2982,
abul10242,OK,1000,1000,2465,
abul10243,OK,550,550,2839,
abul10244,OK,700,700,2926,
abul10245,OK,1500,1500,2913,
abul10246,OK,1000,1000,2848,
abul10247,OK,1250,1250,2930,
abul10248,OK,800,800,2986,
abul10249,OK,650,650,2883,
abul10250,OK,510,510,3447,
abul10251,OK,650,650,2839,
abul10252,OK,1250,1250,2860,
abul10253,OK,575,575,2968,
abul10254,OK,525,525,2848,
abul10255,OK,1500,1500,2954,
abul10256,OK,525,525,2926,
abul10257,OK,510,510,2939,
abul10258,OK,800,800,3073,
abul10259,OK,525,525,2931,
abul10260,OK,750,750,3438,
abul10261,OK,1250,1250,2856,
abul10262,OK,1000,1000,2959,
abul10263,OK,575,575,2910,
abul10264,OK,1000,1000,2951,
abul10265,OK,510,510,2939,
abul10266,OK,1250,1250,2882,
abul10267,OK,1500,1500,2975,
abul10268,OK,800,800,2858,
abul10269,OK,550,550,2961,
abul10270,OK,550,550,2847,
abul10271,OK,550,550,2869,
abul10272,OK,1000,1000,2924,
abul10273,OK,1250,1250,2954,
abul10274,OK,550,550,2881,
abul10275,OK,650,650,2888,
abul10276,OK,700,700,2936,
abul10277,OK,800,800,2381,
abul10278,OK,1000,1000,2912,
abul10279,OK,510,510,2940,
abul10280,OK,750,750,2958,
abul10281,OK,510,510,2851,
abul10282,OK,800,800,2846,
abul10283,OK,1250,1250,3000,
abul10284,OK,600,600,3537,
abul10285,OK,575,575,2939,
abul10286,OK,510,510,2887,
abul10287,OK,1250,1250,2847,
abul10288,OK,700,700,2904,
abul10289,OK,600,600,2875,
abul10290,OK,550,550,2912,
abul10291,OK,800,800,2919,
abul10292,OK,1250,1250,2914,
abul10293,OK,750,750,2898,
abul10294,OK,1000,1000,2834,
abul10295,OK,525,525,3032,
abul10296,OK,1500,1500,2942,
abul10297,OK,1500,1500,2944,
abul10298,OK,575,575,2882,
abul10299,OK,600,600,3241,
abul10300,OK,750,750,2870,
abul10301,OK,575,575,2954,
abul10302,OK,800,800,2922,
abul10303,OK,510,510,2887,
abul10304,OK,550,550,2939,
abul10305,OK,700,700,2844,
abul10306,OK,800,800,2944,
