acc,status,remain,reward,prize,ms,note
abul9801,SPUN,1,25,25 xu,3513,
abul9802,SPUN,1,500,500 xu,3142,
abul9803,SPUN,1,250,250 xu,3628,
abul9804,SPUN,1,50,50 xu,3586,
abul9805,SPUN,1,100,100 xu,3693,
abul9806,SPUN,1,10,10 xu,3635,
abul9807,SPUN,1,10,10 xu,3630,
abul9808,SPUN,1,25,25 xu,3667,
abul9809,SPUN,1,50,50 xu,3713,
abul9810,SPUN,1,200,200 xu,3603,
abul9811,SPUN,1,25,25 xu,3521,
abul9812,SPUN,1,200,200 xu,3463,
abul9813,SPUN,1,100,100 xu,3651,
abul9814,SPUN,1,1000,1000 xu,3587,
abul9815,SPUN,1,25,25 xu,3517,
abul9816,SPUN,1,500,500 xu,3621,
abul9817,SPUN,1,50,50 xu,3666,
abul9818,SPUN,1,150,150 xu,3583,
abul9819,SPUN,1,250,250 xu,3587,
abul9820,SPUN,1,200,200 xu,3580,
abul9821,SPUN,1,300,300 xu,3625,
abul9822,SPUN,1,25,25 xu,3641,
abul9823,SPUN,1,50,50 xu,3545,
abul9824,SPUN,1,200,200 xu,3626,
abul9825,SPUN,1,250,250 xu,3474,
abul9826,SPUN,1,750,750 xu,3571,
abul9827,SPUN,1,150,150 xu,3563,
abul9828,SPUN,1,50,50 xu,3567,
abul9829,SPUN,1,300,300 xu,3569,
abul9830,SPUN,1,150,150 xu,3571,
abul9831,SPUN,1,10,10 xu,3600,
abul9832,SPUN,1,10,10 xu,3559,
abul9833,SPUN,1,150,150 xu,3655,
abul9834,SPUN,1,75,75 xu,3493,
abul9835,SPUN,1,1000,1000 xu,3603,
abul9836,SPUN,1,150,150 xu,3484,
abul9837,SPUN,1,150,150 xu,3515,
abul9838,SPUN,1,750,750 xu,3562,
abul9839,SPUN,1,150,150 xu,3632,
abul9840,SPUN,1,150,150 xu,3544,
abul9841,SPUN,1,300,300 xu,3560,
abul9842,SPUN,1,1000,1000 xu,3532,
abul9843,SPUN,1,10,10 xu,3606,
abul9844,SPUN,1,75,75 xu,3478,
abul9845,SPUN,1,750,750 xu,3564,
abul9846,SPUN,1,75,75 xu,3623,
abul9847,SPUN,1,10,10 xu,3555,
abul9848,SPUN,1,75,75 xu,3503,
abul9849,SPUN,1,200,200 xu,3529,
abul9850,SPUN,1,750,750 xu,3652,
abul9851,SPUN,1,75,75 xu,3486,
abul9852,SPUN,1,10,10 xu,3618,
abul9853,SPUN,1,300,300 xu,3706,
abul9854,SPUN,1,750,750 xu,3489,
abul9855,SPUN,1,500,500 xu,3543,
abul9856,SPUN,1,200,200 xu,3593,
abul9857,SPUN,1,50,50 xu,4048,
abul9858,SPUN,1,150,150 xu,3563,
abul9859,SPUN,1,300,300 xu,3730,
abul9860,SPUN,1,25,25 xu,3595,
abul9861,SPUN,1,500,500 xu,3612,
abul9862,SPUN,1,100,100 xu,3469,
abul9863,SPUN,1,200,200 xu,3678,
abul9864,SPUN,1,75,75 xu,3511,
abul9865,SPUN,1,75,75 xu,3418,
abul9866,SPUN,1,500,500 xu,3469,
abul9867,SPUN,1,10,10 xu,3664,
abul9868,SPUN,1,300,300 xu,3758,
abul9869,SPUN,1,200,200 xu,3621,
abul9870,SPUN,1,75,75 xu,3672,
abul9871,SPUN,1,750,750 xu,3567,
abul9872,SPUN,1,50,50 xu,3572,
abul9873,SPUN,1,75,75 xu,3210,
abul9874,SPUN,1,25,25 xu,3630,
abul9875,SPUN,1,500,500 xu,3595,
abul9876,SPUN,1,150,150 xu,3587,
abul9877,SPUN,1,300,300 xu,3493,
abul9878,SPUN,1,250,250 xu,3594,
abul9879,SPUN,1,100,100 xu,3660,
abul9880,SPUN,1,25,25 xu,3557,
abul9881,SPUN,1,150,150 xu,3682,
abul9882,SPUN,1,10,10 xu,3515,
abul9883,SPUN,1,25,25 xu,3509,
abul9884,SPUN,1,750,750 xu,3585,
abul9885,SPUN,1,200,200 xu,3572,
abul9886,SPUN,1,750,750 xu,3562,
abul9887,SPUN,1,1000,1000 xu,3518,
abul9888,SPUN,1,200,200 xu,3628,
abul9889,SPUN,1,1000,1000 xu,3557,
abul9890,SPUN,1,1000,1000 xu,3618,
abul9891,SPUN,1,250,250 xu,3642,
abul9892,SPUN,1,50,50 xu,3676,
abul9893,SPUN,1,250,250 xu,3629,
abul9894,SPUN,1,1000,1000 xu,3588,
abul9895,SPUN,1,250,250 xu,3592,
abul9896,SPUN,1,500,500 xu,3591,
abul9897,SPUN,1,100,100 xu,3712,
abul9898,SPUN,1,100,100 xu,3455,
abul9899,SPUN,1,250,250 xu,3633,
abul9900,SPUN,1,500,500 xu,3595,
abul9901,SPUN,1,200,200 xu,3534,
abul9902,SPUN,1,250,250 xu,3672,
abul9903,SPUN,1,100,100 xu,3820,
abul9904,SPUN,1,25,25 xu,3620,
abul9905,SPUN,1,75,75 xu,3662,
abul9906,SPUN,1,100,100 xu,3641,
abul9907,SPUN,1,500,500 xu,3599,
abul9908,SPUN,1,250,250 xu,3666,
abul9909,SPUN,1,300,300 xu,3537,
abul9910,SPUN,1,500,500 xu,3456,
abul9911,SPUN,1,150,150 xu,3588,
abul9912,SPUN,1,150,150 xu,3565,
abul9913,SPUN,1,150,150 xu,3444,
abul9914,SPUN,1,25,25 xu,3568,
abul9915,SPUN,1,750,750 xu,3583,
abul9916,SPUN,1,250,250 xu,3505,
abul9917,SPUN,1,10,10 xu,3615,
abul9918,SPUN,1,75,75 xu,3553,
abul9919,SPUN,1,25,25 xu,3536,
abul9920,SPUN,1,500,500 xu,3575,
abul9921,SPUN,1,75,75 xu,3685,
abul9922,SPUN,1,25,25 xu,3662,
abul9923,SPUN,1,750,750 xu,3772,
abul9924,SPUN,1,1000,1000 xu,3627,
abul9925,SPUN,1,10,10 xu,3536,
abul9926,SPUN,1,50,50 xu,3536,
abul9927,SPUN,1,150,150 xu,3566,
abul9928,SPUN,1,25,25 xu,3584,
abul9929,SPUN,1,150,150 xu,3550,
abul9930,SPUN,1,500,500 xu,3542,
abul9931,SPUN,1,75,75 xu,3520,
abul9932,SPUN,1,10,10 xu,3598,
abul9933,SPUN,1,300,300 xu,3610,
abul9934,SPUN,1,50,50 xu,3543,
abul9935,SPUN,1,750,750 xu,3525,
abul9936,SPUN,1,750,750 xu,3535,
abul9937,SPUN,1,150,150 xu,3507,
abul9938,SPUN,1,50,50 xu,3561,
abul9939,SPUN,1,750,750 xu,3639,
abul9940,SPUN,1,100,100 xu,3569,
abul9941,SPUN,1,200,200 xu,3580,
abul9942,SPUN,1,10,10 xu,3579,
abul9943,SPUN,1,100,100 xu,3624,
abul9944,SPUN,1,50,50 xu,3548,
abul9945,SPUN,1,200,200 xu,3577,
abul9946,SPUN,1,200,200 xu,3584,
abul9947,SPUN,1,150,150 xu,3645,
abul9948,SPUN,1,300,300 xu,3598,
abul9949,SPUN,1,75,75 xu,3512,
abul9950,SPUN,1,200,200 xu,3521,
abul9951,SPUN,1,25,25 xu,3574,
abul9952,SPUN,1,10,10 xu,3631,
abul9953,SPUN,1,1000,1000 xu,3679,
abul9954,SPUN,1,10,10 xu,3587,
abul9955,SPUN,1,75,75 xu,3621,
abul9956,SPUN,1,25,25 xu,3654,
abul9957,SPUN,1,200,200 xu,3460,
abul9958,SPUN,1,300,300 xu,3624,
abul9959,SPUN,1,10,10 xu,3155,
abul9960,SPUN,1,75,75 xu,3662,
abul9961,SPUN,1,750,750 xu,3498,
abul9962,SPUN,1,50,50 xu,3656,
abul9963,SPUN,1,10,10 xu,3609,
abul9964,SPUN,1,25,25 xu,3470,
abul9965,SPUN,1,10,10 xu,3490,
abul9966,SPUN,1,75,75 xu,3556,
abul9967,SPUN,1,100,100 xu,3639,
abul9968,SPUN,1,500,500 xu,3559,
abul9969,SPUN,1,500,500 xu,3607,
abul9970,SPUN,1,250,250 xu,3595,
abul9971,SPUN,1,10,10 xu,3472,
abul9972,SPUN,1,1000,1000 xu,3662,
abul9973,SPUN,1,300,300 xu,3583,
abul9974,SPUN,1,75,75 xu,4104,
abul9975,SPUN,1,150,150 xu,3604,
abul9976,SPUN,1,250,250 xu,3575,
abul9977,SPUN,1,50,50 xu,3519,
abul9978,SPUN,1,250,250 xu,3687,
abul9979,SPUN,1,300,300 xu,3661,
abul9980,SPUN,1,150,150 xu,3617,
abul9981,SPUN,1,25,25 xu,3505,
abul9982,SPUN,1,1000,1000 xu,3533,
abul9983,SPUN,1,10,10 xu,4037,
abul9984,SPUN,1,250,250 xu,3492,
abul9985,SPUN,1,750,750 xu,3685,
abul9986,SPUN,1,300,300 xu,3517,
abul9987,SPUN,1,25,25 xu,3614,
abul9988,SPUN,1,150,150 xu,3483,
abul9989,SPUN,1,25,25 xu,3578,
abul9990,SPUN,1,150,150 xu,3568,
abul9991,SPUN,1,10,10 xu,3577,
abul9992,SPUN,1,300,300 xu,4104,
abul9993,SPUN,1,200,200 xu,3601,
abul9994,SPUN,1,1000,1000 xu,3528,
abul9995,SPUN,1,750,750 xu,3659,
abul9996,SPUN,1,250,250 xu,3607,
abul9997,SPUN,1,100,100 xu,3980,
abul9998,SPUN,1,750,750 xu,3486,
abul9999,SPUN,1,10,10 xu,3562,
nguyen100,SPUN,1,200,200 xu,3540,
nguyen1000,SPUN,1,75,75 xu,3694,
nguyen1001,SPUN,1,25,25 xu,3558,
nguyen1002,SPUN,1,10,10 xu,3536,
nguyen1003,SPUN,1,100,100 xu,3676,
nguyen1004,SPUN,1,250,250 xu,3540,
nguyen1005,SPUN,1,1000,1000 xu,3727,
nguyen1006,SPUN,1,50,50 xu,3681,
nguyen1007,SPUN,1,10,10 xu,3551,
nguyen1008,SPUN,1,500,500 xu,3702,
nguyen1009,SPUN,1,10,10 xu,3560,
nguyen101,SPUN,1,100,100 xu,3565,
nguyen1010,SPUN,1,150,150 xu,3656,
nguyen1011,SPUN,1,10,10 xu,3596,
nguyen1012,SPUN,1,250,250 xu,3600,
nguyen1013,SPUN,1,500,500 xu,3559,
nguyen1014,SPUN,1,100,100 xu,3575,
nguyen1015,SPUN,1,1000,1000 xu,3594,
nguyen1016,SPUN,1,100,100 xu,3687,
nguyen1017,SPUN,1,250,250 xu,3630,
nguyen1018,SPUN,1,75,75 xu,3519,
nguyen1019,SPUN,1,50,50 xu,3704,
nguyen102,SPUN,1,300,300 xu,3510,
nguyen1020,SPUN,1,500,500 xu,3464,
nguyen1021,SPUN,1,1000,1000 xu,3571,
nguyen1022,SPUN,1,200,200 xu,3484,
nguyen1023,SPUN,1,1000,1000 xu,3565,
nguyen1024,SPUN,1,500,500 xu,3583,
nguyen1025,SPUN,1,500,500 xu,3650,
nguyen1026,SPUN,1,75,75 xu,3525,
nguyen1027,SPUN,1,300,300 xu,3574,
nguyen1028,SPUN,1,10,10 xu,3181,
nguyen1029,SPUN,1,750,750 xu,3681,
nguyen103,SPUN,1,750,750 xu,3582,
nguyen1030,SPUN,1,25,25 xu,3677,
nguyen1031,SPUN,1,150,150 xu,3591,
nguyen1032,SPUN,1,100,100 xu,3542,
nguyen1033,SPUN,1,500,500 xu,4782,
nguyen1034,SPUN,1,500,500 xu,4288,
nguyen1035,SPUN,1,300,300 xu,4173,
nguyen1036,SPUN,1,200,200 xu,4493,
nguyen1037,SPUN,1,750,750 xu,4388,
